2026-01-26 06:59:18 | INFO     | root                 | 日志系统初始化完成，日志目录: /home/user/pgeminionly/git006/003/logs
2026-01-26 06:59:18 | INFO     | root                 | 常规日志: logs/stock_analysis_20260126.log
2026-01-26 06:59:18 | INFO     | root                 | 调试日志: logs/stock_analysis_debug_20260126.log
2026-01-26 06:59:18 | INFO     | __main__             | ============================================================
2026-01-26 06:59:18 | INFO     | __main__             | A股自选股智能分析系统 启动
2026-01-26 06:59:18 | INFO     | __main__             | 运行时间: 2026-01-26 06:59:18
2026-01-26 06:59:18 | INFO     | __main__             | ============================================================
2026-01-26 06:59:18 | WARNING  | __main__             | 提示：未配置 Tushare Token，将使用其他数据源
2026-01-26 06:59:18 | WARNING  | __main__             | 提示：未配置搜索引擎 API Key (Bocha/Tavily/SerpAPI)，新闻搜索功能将不可用
2026-01-26 06:59:18 | WARNING  | __main__             | 提示：未配置通知渠道，将不发送推送通知
2026-01-26 06:59:19 | INFO     | src.storage          | 数据库初始化完成: sqlite:////home/user/pgeminionly/git006/003/data/stock_analysis.db
2026-01-26 06:59:19 | WARNING  | data_provider.tushare_fetcher | Tushare Token 未配置，此数据源不可用
2026-01-26 06:59:19 | INFO     | data_provider.base   | 已初始化 5 个数据源（按优先级）: EfinanceFetcher(P0), AkshareFetcher(P1), TushareFetcher(P2), BaostockFetcher(P3), YfinanceFetcher(P4)
2026-01-26 06:59:21 | INFO     | src.analyzer         | Gemini 模型初始化成功 (模型: gemini-3-flash-preview)
2026-01-26 06:59:21 | WARNING  | src.notification     | 未配置有效的通知渠道，将不发送推送通知
2026-01-26 06:59:21 | WARNING  | src.search_service   | 未配置任何搜索引擎 API Key，新闻搜索功能将不可用
2026-01-26 06:59:21 | INFO     | src.core.pipeline    | 调度器初始化完成，最大并发数: 3
2026-01-26 06:59:21 | INFO     | src.core.pipeline    | 已启用趋势分析器 (MA5>MA10>MA20 多头判断)
2026-01-26 06:59:21 | INFO     | src.core.pipeline    | 实时行情已启用 (优先级: akshare_sina,tencent,efinance,akshare_em)
2026-01-26 06:59:21 | INFO     | src.core.pipeline    | 筹码分布分析已启用
2026-01-26 06:59:21 | WARNING  | src.core.pipeline    | 搜索服务未启用（未配置 API Key）
2026-01-26 06:59:21 | INFO     | src.core.pipeline    | ===== 开始分析 3 只股票 =====
2026-01-26 06:59:21 | INFO     | src.core.pipeline    | 股票列表: 6088027, hk00700, AAPL
2026-01-26 06:59:21 | INFO     | src.core.pipeline    | 并发数: 3, 模式: 完整分析
2026-01-26 06:59:21 | INFO     | src.core.pipeline    | ========== 开始处理 6088027 ==========
2026-01-26 06:59:21 | INFO     | src.core.pipeline    | ========== 开始处理 hk00700 ==========
2026-01-26 06:59:21 | INFO     | src.core.pipeline    | ========== 开始处理 AAPL ==========
2026-01-26 06:59:21 | INFO     | src.core.pipeline    | [hk00700] 开始从数据源获取数据...
2026-01-26 06:59:21 | INFO     | src.core.pipeline    | [6088027] 开始从数据源获取数据...
2026-01-26 06:59:21 | INFO     | data_provider.base   | 尝试使用 [EfinanceFetcher] 获取 hk00700...
2026-01-26 06:59:21 | INFO     | data_provider.base   | 尝试使用 [EfinanceFetcher] 获取 6088027...
2026-01-26 06:59:21 | INFO     | data_provider.base   | [EfinanceFetcher] 获取 6088027 数据: 2025-11-27 ~ 2026-01-26
2026-01-26 06:59:21 | INFO     | src.core.pipeline    | [AAPL] 开始从数据源获取数据...
2026-01-26 06:59:21 | INFO     | data_provider.base   | [EfinanceFetcher] 获取 hk00700 数据: 2025-11-27 ~ 2026-01-26
2026-01-26 06:59:21 | INFO     | data_provider.base   | 尝试使用 [EfinanceFetcher] 获取 AAPL...
2026-01-26 06:59:21 | INFO     | data_provider.base   | [EfinanceFetcher] 获取 AAPL 数据: 2025-11-27 ~ 2026-01-26
2026-01-26 06:59:21 | DEBUG    | data_provider.efinance_fetcher | 设置 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap...
2026-01-26 06:59:21 | DEBUG    | data_provider.base   | 随机休眠 1.57 秒...
2026-01-26 06:59:21 | DEBUG    | data_provider.efinance_fetcher | 设置 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap...
2026-01-26 06:59:21 | DEBUG    | data_provider.base   | 随机休眠 2.58 秒...
2026-01-26 06:59:21 | DEBUG    | data_provider.efinance_fetcher | 设置 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36...
2026-01-26 06:59:21 | DEBUG    | data_provider.base   | 随机休眠 1.57 秒...
2026-01-26 06:59:22 | INFO     | data_provider.efinance_fetcher | [API调用] ef.stock.get_quote_history(stock_codes=6088027, beg=20251127, end=20260126, klt=101, fqt=1)
2026-01-26 06:59:22 | INFO     | data_provider.efinance_fetcher | [API调用] ef.stock.get_quote_history(stock_codes=hk00700, beg=20251127, end=20260126, klt=101, fqt=1)
2026-01-26 06:59:23 | WARNING  | data_provider.efinance_fetcher | [API返回] ef.stock.get_quote_history 返回空数据, 耗时 0.81s
2026-01-26 06:59:23 | ERROR    | data_provider.base   | [EfinanceFetcher] 获取 6088027 失败: [EfinanceFetcher] 未获取到 6088027 的数据
2026-01-26 06:59:23 | WARNING  | data_provider.base   | [EfinanceFetcher] 失败: [EfinanceFetcher] 6088027: [EfinanceFetcher] 未获取到 6088027 的数据
2026-01-26 06:59:23 | INFO     | data_provider.base   | 尝试使用 [AkshareFetcher] 获取 6088027...
2026-01-26 06:59:23 | INFO     | data_provider.base   | [AkshareFetcher] 获取 6088027 数据: 2025-11-27 ~ 2026-01-26
2026-01-26 06:59:23 | DEBUG    | data_provider.akshare_fetcher | 设置 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap...
2026-01-26 06:59:23 | DEBUG    | data_provider.base   | 随机休眠 3.27 秒...
2026-01-26 06:59:23 | WARNING  | data_provider.efinance_fetcher | [API返回] ef.stock.get_quote_history 返回空数据, 耗时 0.82s
2026-01-26 06:59:23 | ERROR    | data_provider.base   | [EfinanceFetcher] 获取 hk00700 失败: [EfinanceFetcher] 未获取到 hk00700 的数据
2026-01-26 06:59:23 | WARNING  | data_provider.base   | [EfinanceFetcher] 失败: [EfinanceFetcher] hk00700: [EfinanceFetcher] 未获取到 hk00700 的数据
2026-01-26 06:59:23 | INFO     | data_provider.base   | 尝试使用 [AkshareFetcher] 获取 hk00700...
2026-01-26 06:59:23 | INFO     | data_provider.base   | [AkshareFetcher] 获取 hk00700 数据: 2025-11-27 ~ 2026-01-26
2026-01-26 06:59:23 | DEBUG    | data_provider.akshare_fetcher | 设置 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0...
2026-01-26 06:59:23 | DEBUG    | data_provider.base   | 随机休眠 4.61 秒...
2026-01-26 06:59:23 | INFO     | data_provider.efinance_fetcher | [API调用] ef.stock.get_quote_history(stock_codes=AAPL, beg=20251127, end=20260126, klt=101, fqt=1)
2026-01-26 06:59:24 | INFO     | data_provider.efinance_fetcher | [API返回] ef.stock.get_quote_history 成功: 返回 38 行数据, 耗时 0.20s
2026-01-26 06:59:24 | INFO     | data_provider.efinance_fetcher | [API返回] 列名: ['股票名称', '股票代码', '日期', '开盘', '收盘', '最高', '最低', '成交量', '成交额', '振幅', '涨跌幅', '涨跌额', '换手率']
2026-01-26 06:59:24 | INFO     | data_provider.efinance_fetcher | [API返回] 日期范围: 2025-11-28 ~ 2026-01-23
2026-01-26 06:59:24 | DEBUG    | data_provider.efinance_fetcher | [API返回] 最新3条数据:
   股票名称  股票代码          日期      开盘      收盘      最高      最低       成交量           成交额    振幅   涨跌幅   涨跌额   换手率
35   苹果  AAPL  2026-01-21  248.70  247.65  251.56  245.18  54641725  1.353558e+10  2.59  0.39  0.95  0.37
36   苹果  AAPL  2026-01-22  249.20  248.35  251.00  248.15  39708340  9.897893e+09  1.15  0.28  0.70  0.27
37   苹果  AAPL  2026-01-23  247.32  248.04  249.41  244.68  41688982  1.032052e+10  1.90 -0.12 -0.31  0.28
2026-01-26 06:59:24 | INFO     | data_provider.base   | [EfinanceFetcher] AAPL 获取成功，共 38 条数据
2026-01-26 06:59:24 | INFO     | data_provider.base   | [EfinanceFetcher] 成功获取 AAPL
2026-01-26 06:59:24 | INFO     | src.storage          | 保存 AAPL 数据成功，新增 38 条
2026-01-26 06:59:24 | INFO     | src.core.pipeline    | [AAPL] 数据保存成功（来源: EfinanceFetcher，新增 38 条）
2026-01-26 06:59:24 | DEBUG    | data_provider.akshare_fetcher | [API跳过] AAPL 是美股，Akshare 不支持美股实时行情
