日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-11,688027,267.64,275.85,278.16,267.06,16862,462117121.0,4.15,3.07,8.21,2.1
2025-08-12,688027,277.0,277.6,278.39,273.0,10237,282248172.0,1.95,0.63,1.75,1.27
2025-08-13,688027,277.76,292.6,301.0,277.76,45045,1312593014.0,8.37,5.4,15.0,5.6
2025-08-14,688027,292.8,286.28,298.0,286.2,24495,714097580.0,4.03,-2.16,-6.32,3.05
2025-08-15,688027,291.0,287.01,294.9,285.6,23087,666074211.0,3.25,0.25,0.73,2.87
2025-08-18,688027,290.98,298.0,307.0,289.0,38951,1168658601.0,6.27,3.83,10.99,4.85
2025-08-19,688027,298.76,293.0,299.5,291.44,23015,678263384.0,2.7,-1.68,-5.0,2.86
2025-08-20,688027,291.6,296.86,296.86,286.57,19256,560862881.0,3.51,1.32,3.86,2.4
2025-08-21,688027,299.0,294.48,301.5,293.51,16590,492690080.0,2.69,-0.8,-2.38,2.06
2025-08-22,688027,295.0,316.0,316.58,294.14,42743,1322153550.0,7.62,7.31,21.52,5.32
2025-08-25,688027,319.0,322.5,336.66,316.01,51343,1672471579.0,6.53,2.06,6.5,6.39
2025-08-26,688027,321.45,323.85,336.66,319.85,30089,985766355.0,5.21,0.42,1.35,3.74
2025-08-27,688027,323.98,322.46,339.95,322.0,45661,1517093521.0,5.54,-0.43,-1.39,5.68
2025-08-28,688027,322.92,331.5,331.86,318.07,33888,1103943599.0,4.28,2.8,9.04,4.22
2025-08-29,688027,332.0,331.59,334.7,319.33,33101,1083011045.0,4.64,0.03,0.09,4.12
2025-09-01,688027,331.0,327.25,331.59,316.0,34099,1107380422.0,4.7,-1.31,-4.34,4.24
2025-09-02,688027,325.85,306.8,328.77,302.25,47603,1488169641.0,8.1,-6.25,-20.45,5.92
2025-09-03,688027,304.07,294.47,307.98,293.6,26609,799380919.0,4.69,-4.02,-12.33,3.31
2025-09-04,688027,295.82,277.29,297.11,272.23,34341,974749261.0,8.45,-5.83,-17.18,4.27
2025-09-05,688027,279.0,283.87,285.0,275.0,23228,649695817.0,3.61,2.37,6.58,2.89
2025-09-08,688027,284.0,289.49,291.69,281.0,29003,830122155.0,3.77,1.98,5.62,3.61
2025-09-09,688027,286.33,280.75,288.09,278.51,17566,496332700.0,3.31,-3.02,-8.74,2.19
2025-09-10,688027,280.74,278.31,282.43,277.59,12981,363409274.0,1.72,-0.87,-2.44,1.62
2025-09-11,688027,278.3,289.26,291.0,278.3,26345,753176273.0,4.56,3.93,10.95,3.28
2025-09-12,688027,289.26,290.15,294.85,288.14,21746,633422452.0,2.32,0.31,0.89,2.71
2025-09-15,688027,295.95,318.98,333.0,295.94,59182,1859839977.0,12.77,9.94,28.83,7.36
2025-09-16,688027,319.0,327.82,332.6,318.0,43880,1432724066.0,4.58,2.77,8.84,5.46
2025-09-17,688027,328.0,322.0,328.56,319.0,25434,821272909.0,2.92,-1.78,-5.82,3.16
2025-09-18,688027,332.2,347.65,378.0,327.85,81581,2875397134.0,15.57,7.97,25.65,10.15
2025-09-19,688027,357.0,342.1,359.88,337.0,44685,1552246142.0,6.58,-1.6,-5.55,5.56
2025-09-22,688027,357.0,357.0,364.64,350.0,42231,1513490773.0,4.28,4.36,14.9,5.25
2025-09-23,688027,359.2,343.0,361.65,334.0,43779,1503414330.0,7.75,-3.92,-14.0,5.45
2025-09-24,688027,342.98,354.99,358.0,338.42,35954,1258060503.0,5.71,3.5,11.99,4.47
2025-09-25,688027,352.93,355.5,363.33,352.93,29088,1042867988.0,2.93,0.14,0.51,3.62
